date,funding_amount
2014-Jan,10345250
2014-Feb,12381025
2014-Mar,12023630
2014-Apr,11789590
2014-May,11610830
2014-Jun,12260855
2014-Jul,13062715
2014-Aug,11963140
2014-Sep,12399960
2014-Oct,13046885
2014-Nov,13212440
2014-Dec,12619750
2015-Jan,11239275
2015-Feb,12004615
2015-Mar,13458425
2015-Apr,12476725
2015-May,12912865
2015-Jun,12470140
2015-Jul,12657815
2015-Aug,11795700
2015-Sep,11724450
2015-Oct,12343825
2015-Nov,12352705
2015-Dec,12892925
2016-Jan,11181150
2016-Feb,12102625
2016-Mar,14194975
2016-Apr,12699300
2016-May,11538250
2016-Jun,12572875
2016-Jul,11923400
2016-Aug,12591525
2016-Sep,13286230
2016-Oct,12538200
2016-Nov,13370900
2016-Dec,13513175
2017-Jan,12942075
2017-Feb,12811475
2017-Mar,16472800
2017-Apr,12620075
2017-May,14966975
2017-Jun,10090025
2017-Jul,1102250
